"","Specimen.ID","Genus","Species","Serotype","Data.Year","AZM.Rslt"
"97","2015AM-0266","Salmonella","enterica","Enteritidis",2015,4
"98","2015AM-0267","Salmonella","enterica","Enteritidis",2015,4
"99","2015AM-0268","Salmonella","enterica","Enteritidis",2015,4
"100","2015AM-0269","Salmonella","enterica","Enteritidis",2015,2
"101","2015AM-0270","Salmonella","enterica","Enteritidis",2015,4
"102","2015AM-0273","Salmonella","enterica","Agbeni",2015,4
"103","2015AM-0274","Salmonella","enterica","Baildon",2015,2
"104","2015AM-0275","Salmonella","enterica","Baildon",2015,2
"105","2015AM-0276","Salmonella","enterica","Derby",2015,4
"106","2015AM-0277","Salmonella","enterica","Enteritidis",2015,2
"107","2015AM-0278","Salmonella","enterica","Enteritidis",2015,4
"108","2015AM-0279","Salmonella","enterica","Enteritidis",2015,4
"109","2015AM-0280","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"110","2015AM-0281","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"111","2015AM-0282","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"112","2015AM-0283","Salmonella","enterica","Infantis",2015,4
"113","2015AM-0284","Salmonella","enterica","Poona",2015,4
"114","2015AM-0285","Salmonella","enterica","Typhimurium",2015,8
"115","2015AM-0288","Salmonella","enterica","Enteritidis",2015,4
"116","2015AM-0289","Salmonella","enterica","Enteritidis",2015,2
"117","2015AM-0290","Salmonella","enterica","Enteritidis",2015,4
"118","2015AM-0291","Salmonella","enterica","Heidelberg",2015,4
"119","2015AM-0292","Salmonella","enterica","Paratyphi B var. L(+) tartrate+",2015,4
"120","2015AM-0293","Salmonella","enterica","Typhimurium",2015,4
"121","2015AM-0299","Salmonella","enterica","Hadar",2015,2
"122","2015AM-0301","Salmonella","enterica","IV 44:z4,z23:-",2015,4
"123","2015AM-0302","Salmonella","enterica","Heidelberg",2015,4
"124","2015AM-0303","Salmonella","enterica","I 4,[5],12:b:-",2015,2
"125","2015AM-0305","Salmonella","enterica","Heidelberg",2015,4
"126","2015AM-0307","Salmonella","enterica","Enteritidis",2015,4
"127","2015AM-0308","Salmonella","enterica","Enteritidis",2015,4
"128","2015AM-0309","Salmonella","enterica","Enteritidis",2015,2
"129","2015AM-0312","Salmonella","enterica","Heidelberg",2015,4
"130","2015AM-0314","Salmonella","enterica","Brandenburg",2015,4
"131","2015AM-0315","Salmonella","enterica","Typhimurium",2015,4
"132","2015AM-0316","Salmonella","enterica","Blockley",2015,4
"133","2015AM-0319","Salmonella","enterica","Enteritidis",2015,4
"134","2015AM-0320","Salmonella","enterica","Enteritidis",2015,4
"135","2015AM-0321","Salmonella","enterica","Enteritidis",2015,4
"136","2015AM-0322","Salmonella","enterica","Hvittingfoss",2015,4
"137","2015AM-0323","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"138","2015AM-0324","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"139","2015AM-0325","Salmonella","enterica","Newport",2015,4
"140","2015AM-0326","Salmonella","enterica","Panama",2015,4
"141","2015AM-0337","Salmonella","enterica","Enteritidis",2015,4
"142","2015AM-0338","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"143","2015AM-0376","Salmonella","enterica","Cotham",2015,4
"144","2015AM-0377","Salmonella","enterica","Hadar",2015,2
"145","2015AM-0378","Salmonella","enterica","Infantis",2015,16
"146","2015AM-0379","Salmonella","enterica","Muenchen",2015,4
"147","2015AM-0380","Salmonella","enterica","Oslo",2015,2
"148","2015AM-0383","Salmonella","enterica","Typhimurium",2015,4
"149","2015AM-0384","Salmonella","enterica","Typhimurium",2015,2
"150","2015AM-0388","Salmonella","enterica","Enteritidis",2015,4
"151","2015AM-0390","Salmonella","enterica","Reading",2015,4
"152","2015AM-0391","Salmonella","enterica","Cotham",2015,4
"153","2015AM-0392","Salmonella","enterica","Enteritidis",2015,4
"154","2015AM-0393","Salmonella","enterica","Enteritidis",2015,4
"155","2015AM-0394","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"156","2015AM-0395","Salmonella","enterica","Infantis",2015,4
"157","2015AM-0396","Salmonella","enterica","Javiana",2015,4
"158","2015AM-0397","Salmonella","enterica","Javiana",2015,4
"159","2015AM-0398","Salmonella","enterica","Kiambu",2015,2
"160","2015AM-0399","Salmonella","enterica","Montevideo",2015,4
"161","2015AM-0400","Salmonella","enterica","Montevideo",2015,4
"162","2015AM-0401","Salmonella","enterica","Montevideo",2015,4
"163","2015AM-0402","Salmonella","enterica","Newport",2015,2
"164","2015AM-0403","Salmonella","enterica","Newport",2015,4
"165","2015AM-0404","Salmonella","enterica","Newport",2015,4
"166","2015AM-0405","Salmonella","enterica","Schwarzengrund",2015,4
"167","2015AM-0406","Salmonella","enterica","Schwarzengrund",2015,4
"168","2015AM-0407","Salmonella","enterica","Typhimurium",2015,4
"169","2015AM-0408","Salmonella","enterica","Typhimurium",2015,4
"170","2015AM-0411","Salmonella","enterica","Cotham",2015,4
"171","2015AM-0412","Salmonella","enterica","Enteritidis",2015,4
"172","2015AM-0413","Salmonella","enterica","Enteritidis",2015,4
"173","2015AM-0414","Salmonella","enterica","Hadar",2015,2
"174","2015AM-0415","Salmonella","enterica","Newport",2015,4
"175","2015AM-0430","Salmonella","enterica","Enteritidis",2015,8
"176","2015AM-0495","Salmonella","enterica","Braenderup",2015,4
"177","2015AM-0496","Salmonella","enterica","Brandenburg",2015,4
"178","2015AM-0497","Salmonella","enterica","Enteritidis",2015,4
"179","2015AM-0498","Salmonella","enterica","Enteritidis",2015,4
"180","2015AM-0499","Salmonella","enterica","Enteritidis",2015,4
"181","2015AM-0500","Salmonella","enterica","Heidelberg",2015,4
"182","2015AM-0501","Salmonella","enterica","Infantis",2015,4
"183","2015AM-0502","Salmonella","enterica","Manhattan",2015,4
"184","2015AM-0503","Salmonella","enterica","Panama",2015,4
"185","2015AM-0504","Salmonella","enterica","Panama",2015,4
"186","2015AM-0509","Salmonella","enterica","Typhimurium",2015,4
"187","2015AM-0523","Salmonella","enterica","Berta",2015,4
"188","2015AM-0524","Salmonella","enterica","Enteritidis",2015,4
"189","2015AM-0525","Salmonella","enterica","Enteritidis",2015,4
"190","2015AM-0526","Salmonella","enterica","Enteritidis",2015,2
"191","2015AM-0527","Salmonella","enterica","Miami",2015,4
"192","2015AM-0528","Salmonella","enterica","Montevideo",2015,4
"193","2015AM-0533","Salmonella","enterica","Rubislaw",2015,4
"194","2015AM-0534","Salmonella","enterica","Muenster",2015,4
"195","2015AM-0535","Salmonella","enterica","Enteritidis",2015,4
"196","2015AM-0536","Salmonella","enterica","Indiana",2015,4
"197","2015AM-0541","Salmonella","enterica","Anatum",2015,4
"198","2015AM-0542","Salmonella","enterica","Derby",2015,4
"199","2015AM-0543","Salmonella","enterica","Enteritidis",2015,4
"200","2015AM-0544","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"201","2015AM-0545","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"202","2015AM-0561","Salmonella","enterica","Enteritidis",2015,4
"203","2015AM-0562","Salmonella","enterica","Enteritidis",2015,4
"204","2015AM-0563","Salmonella","enterica","Enteritidis",2015,4
"205","2015AM-0564","Salmonella","enterica","Enteritidis",2015,2
"206","2015AM-0565","Salmonella","enterica","Enteritidis",2015,4
"207","2015AM-0566","Salmonella","enterica","Enteritidis",2015,4
"208","2015AM-0567","Salmonella","enterica","Heidelberg",2015,4
"209","2015AM-0568","Salmonella","enterica","Infantis",2015,4
"210","2015AM-0569","Salmonella","enterica","Muenchen",2015,4
"211","2015AM-0570","Salmonella","enterica","Enteritidis",2015,4
"212","2015AM-0571","Salmonella","enterica","Sandiego",2015,4
"213","2015AM-0576","Salmonella","enterica","Enteritidis",2015,4
"214","2015AM-0577","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"215","2015AM-0580","Salmonella","enterica","Enteritidis",2015,4
"216","2015AM-0582","Salmonella","enterica","Enteritidis",2015,4
"217","2015AM-0583","Salmonella","enterica","I 4,[5],12:b:- var. L(+) tartrate+",2015,4
"218","2015AM-0584","Salmonella","enterica","IV 6,7:z4,z23:-",2015,4
"219","2015AM-0585","Salmonella","enterica","Javiana",2015,4
"220","2015AM-0586","Salmonella","enterica","Miami",2015,4
"221","2015AM-0587","Salmonella","enterica","Minnesota",2015,4
"222","2015AM-0588","Salmonella","enterica","Muenchen",2015,4
"223","2015AM-0589","Salmonella","enterica","Poona",2015,4
"224","2015AM-0590","Salmonella","enterica","Rubislaw",2015,4
"225","2015AM-0593","Salmonella","enterica","Anatum",2015,4
"226","2015AM-0594","Salmonella","enterica","Javiana",2015,4
"227","2015AM-0595","Salmonella","enterica","Oslo",2015,4
"228","2015AM-0596","Salmonella","enterica","Enteritidis",2015,4
"229","2015AM-0597","Salmonella","enterica","Infantis",2015,4
"230","2015AM-0598","Salmonella","enterica","Typhimurium",2015,4
"231","2015AM-0603","Salmonella","enterica","Enteritidis",2015,4
"232","2015AM-0604","Salmonella","enterica","Enteritidis",2015,4
"233","2015AM-0605","Salmonella","enterica","Enteritidis",2015,4
"234","2015AM-0606","Salmonella","enterica","Enteritidis",2015,4
"235","2015AM-0607","Salmonella","enterica","I 4,[5],12:i:-",2015,4
